experiment,model,feature_set,feature,target,sample,n,pearson,spearman,mutual_information,horizon,lag,is_predictive
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_2,dBTC_y_lag_2,future_rms_h12,development_train,18249,0.005184155274575115,0.009485774225856993,0.0038021651097466247,12,2,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_3,dBTC_y_lag_3,future_rms_h12,development_train,18248,0.003916284177070597,0.008349335725384056,0.014313558614135857,12,3,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_4,dBTC_y_lag_4,future_rms_h12,development_train,18247,0.005349484622541789,0.01094064525500274,0.006479999521501689,12,4,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_5,dBTC_y_lag_5,future_rms_h12,development_train,18246,0.00491911265105537,0.008856990119022603,0.005051806558963534,12,5,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_6,dBTC_y_lag_6,future_rms_h12,development_train,18245,0.0028544966629732854,0.008643066095981124,0.0,12,6,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_7,dBTC_y_lag_7,future_rms_h12,development_train,18244,0.0041541691306226335,0.008905548676801583,0.0,12,7,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_8,dBTC_y_lag_8,future_rms_h12,development_train,18243,0.0043189500582996075,0.008679948352105336,0.002595549589192281,12,8,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_9,dBTC_y_lag_9,future_rms_h12,development_train,18242,0.003301118353658416,0.007115701326775167,0.010944894331156085,12,9,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_10,dBTC_y_lag_10,future_rms_h12,development_train,18241,0.0043808117386542065,0.009480592727785729,0.0,12,10,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_11,dBTC_y_lag_11,future_rms_h12,development_train,18240,0.0050141628383013346,0.008968658710114406,0.004730080446734952,12,11,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_12,dBTC_y_lag_12,future_rms_h12,development_train,18239,0.002569486595491436,0.006662467288524498,0.0,12,12,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_13,dBTC_y_lag_13,future_rms_h12,development_train,18238,0.0057454386562900165,0.010329511628867246,0.0,12,13,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_14,dBTC_y_lag_14,future_rms_h12,development_train,18237,0.00509676709392604,0.009786081053741635,0.00016844349605182884,12,14,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_15,dBTC_y_lag_15,future_rms_h12,development_train,18236,0.004876303781648172,0.0097823716203399,0.005785970573353616,12,15,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_16,dBTC_y_lag_16,future_rms_h12,development_train,18235,0.004125883345247979,0.007704298213418803,0.010184445948192788,12,16,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_17,dBTC_y_lag_17,future_rms_h12,development_train,18234,0.004472683071316658,0.008379319919500526,0.004058755555377047,12,17,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_18,dBTC_y_lag_18,future_rms_h12,development_train,18233,0.0054804011506586845,0.009155648741986773,0.009957987564394699,12,18,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_19,dBTC_y_lag_19,future_rms_h12,development_train,18232,0.003357690715684064,0.009506565107724586,0.0,12,19,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_20,dBTC_y_lag_20,future_rms_h12,development_train,18231,0.002906475229170898,0.009413997070510232,0.0,12,20,True
