experiment,model,feature_set,regime_scheme,split,class_id,class_name,precision,recall,f1,support,fold
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.0,0.0,0.0,144,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_extreme_4_5,fold_2,1,LOW,0.2774244833068362,0.5094890510948905,0.35923829130211016,685,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_extreme_4_5,fold_2,2,MID,0.34146341463414637,0.04430379746835443,0.0784313725490196,948,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_extreme_4_5,fold_2,3,HIGH,0.4528415961305925,0.6246872393661385,0.5250613389414651,1199,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.0,0.0,0.0,144,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_2,1,LOW,0.3186221743810549,0.4321167883211679,0.3667905824039653,685,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_2,2,MID,0.3252212389380531,0.1550632911392405,0.21,948,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_2,3,HIGH,0.4752116082224909,0.6555462885738115,0.5509989484752892,1199,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.0,0.0,0.0,144,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_2,1,LOW,0.45,0.24963503649635035,0.3211267605633803,685,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_2,2,MID,0.37948717948717947,0.39029535864978904,0.38481539261570463,948,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_2,3,HIGH,0.49728424864212434,0.6872393661384487,0.5770308123249299,1199,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.18181818181818182,0.027777777777777776,0.04819277108433735,144,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_2,1,LOW,0.3174250832408435,0.41751824817518246,0.36065573770491804,685,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_2,2,MID,0.32309746328437916,0.2552742616033755,0.2852091926929876,948,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_2,3,HIGH,0.4465454545454545,0.51209341117598,0.47707847707847706,1199,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.0,0.0,0.0,144,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_2,1,LOW,0.4589041095890411,0.2934306569343066,0.3579697239536955,685,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_2,2,MID,0.40592930444697833,0.3755274261603376,0.39013698630136984,948,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_2,3,HIGH,0.5008839127872716,0.7089241034195163,0.5870165745856354,1199,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.047619047619047616,0.006944444444444444,0.012121212121212121,144,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_2,0,VERY_LOW,0.11927512355848435,1.0,0.21312923167500736,362,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_2,1,LOW,0.0,0.0,0.0,511,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_2,2,MID,0.0,0.0,0.0,629,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_2,3,HIGH,0.0,0.0,0.0,777,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_2,4,VERY_HIGH,0.0,0.0,0.0,756,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_2,0,VERY_LOW,0.19635627530364372,0.26795580110497236,0.2266355140186916,362,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_2,1,LOW,0.1736111111111111,0.04892367906066536,0.07633587786259542,511,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_2,2,MID,0.2216142270861833,0.2575516693163752,0.23823529411764705,629,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_2,3,HIGH,0.28278322925958965,0.40797940797940796,0.3340358271865121,777,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_2,4,VERY_HIGH,0.42752293577981654,0.3082010582010582,0.35818601076095313,756,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_2,0,VERY_LOW,0.1588702559576346,0.4972375690607735,0.2408026755852843,362,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_2,1,LOW,0.19148936170212766,0.07045009784735812,0.10300429184549356,511,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_2,2,MID,0.24390243902439024,0.09538950715421304,0.13714285714285715,629,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_2,3,HIGH,0.2768166089965398,0.10296010296010295,0.150093808630394,777,2
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_2,4,VERY_HIGH,0.3095843935538592,0.4828042328042328,0.3772609819121447,756,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_2,0,VERY_LOW,0.19176136363636365,0.3729281767955801,0.25328330206378985,362,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_2,1,LOW,0.19245283018867926,0.19960861056751467,0.19596541786743515,511,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_2,2,MID,0.2126865671641791,0.09062003179650238,0.12709030100334448,629,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_2,3,HIGH,0.28643724696356276,0.3642213642213642,0.3206798866855524,777,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_2,4,VERY_HIGH,0.42752293577981654,0.3082010582010582,0.35818601076095313,756,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_2,0,VERY_LOW,0.30392156862745096,0.1712707182320442,0.21908127208480566,362,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_2,1,LOW,0.2727272727272727,0.14677103718199608,0.19083969465648856,511,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_2,2,MID,0.27489481065918653,0.31160572337042924,0.29210134128166915,629,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_2,3,HIGH,0.28761514841351077,0.36164736164736166,0.3204104903078677,777,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_2,4,VERY_HIGH,0.40993071593533487,0.4695767195767196,0.43773119605425403,756,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_2,0,VERY_LOW,0.1761744966442953,0.2900552486187845,0.21920668058455114,362,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_2,1,LOW,0.17136659436008678,0.15459882583170254,0.16255144032921812,511,2
